Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Chile,0.385640138,0.417673558,0.428348884,0.444235101,0.465201631,0.479975509,0.530813808,0.541610627,0.501115102,0.48001823,0.413288185,0.423209473,0.433592282,0.454672945,0.468104377,0.452999633,0.445788065,0.428635599,0.408896984,0.397709509,0.37985583,0.393155009,0.404108019,0.440730365,0.485177316,0.502509095,0.509184571,0.537417718,0.575043128,0.621521578,0.671297157,0.725594123,0.754175966,0.758552903,0.752385327,0.701434907,0.674369721,0.661556383,0.656336833,0.687673771,0.720562657,0.74496816,0.96964244,0.999897949,0.920042579,0.858961552
China,0.015430311,0.019343017,0.018590872,0.019748813,0.025718509,0.034606199,0.045945185,0.051497776,0.061288498,0.068959819,0.074586826,0.083836094,0.087221001,0.095291891,0.093900177,0.086811991,0.081407285,0.079305362,0.079783202,0.081333301,0.085003565,0.089097327,0.09296963,0.09801239,0.100985772,0.098538657,0.104968169,0.112634092,0.122640304,0.123271925,0.131949561,0.141746286,0.158377042,0.157760465,0.166421463,0.176209165,0.178328784,0.19239793,0.210077859,0.245178176,0.250694909,0.263274148,0.274536179,0.282855321,0.290806378,0.319532369
Colombia,0.1819384,0.205192415,0.200426903,0.218878533,0.202805822,0.225365335,0.238407929,0.269056849,0.255610326,0.277649169,0.271028215,0.283514009,0.275613184,0.271661192,0.282436403,0.291796369,0.293389161,0.27348173,0.281558588,0.26267446,0.256855318,0.257845432,0.276007927,0.281011805,0.274621646,0.284700437,0.283043079,0.308487741,0.307202311,0.311135004,0.324085556,0.32889081,0.325929382,0.311531756,0.271848562,0.262824574,0.273683554,0.243511536,0.239361176,0.238393518,0.240182551,0.248182511,0.240298463,0.238275829,0.229990579,0.237607469
Czech Rep.,0.412643896,0.455115496,0.505474361,0.556291119,0.59600005,0.713463862,0.782606562,0.854242436,0.956912078,0.977523497,1.073229152,1.128020248,1.17230233,1.205634712,1.219053947,1.130427342,1.111214046,1.012380225,0.990713192,1.050107952,1.031274719,0.988109772,0.997101512,0.956920053,0.910628157,0.819880734,0.688358447,0.657380473,0.665993341,0.683648176,0.775728131,0.811734919,0.773991102,0.80370031,0.798999253,0.774878965,0.818916962,0.797590479,0.852997458,0.935631586,0.972052821,0.957324817,0.944875782,0.954481771,0.929142358,0.876778335
Denmark,2.146416493,2.410881334,2.534604431,2.803258153,3.367403534,3.729175053,3.708750186,3.88527541,3.57542911,3.180351008,3.0974895,3.297095992,3.253889545,3.14850107,3.102287556,2.645897171,2.50051468,2.142816985,2.02637313,2.025422463,2.08694251,2.046079013,1.873807617,1.858027707,1.799370659,1.748480948,1.756146123,1.737032196,1.830345362,1.947018757,2.00635767,2.178027798,2.098692353,2.017114718,2.00132018,1.940068932,1.833812386,1.785120101,1.714555166,1.676764908,1.701835096,1.710749408,1.695516472,1.624066453,1.538496625,1.567527461
Ecuador,0.128441943,0.130319084,0.136550607,0.158299673,0.163149355,0.180997324,0.194124562,0.193903442,0.209055749,0.231997335,0.220043024,0.24039547,0.291312995,0.288749736,0.298970503,0.372212911,0.40677603,0.433533888,0.386681919,0.377463914,0.453215808,0.448532215,0.441202288,0.426748284,0.433724217,0.4073841,0.451708286,0.4261893,0.437315841,0.467618138,0.443848859,0.490242034,0.553507494,0.55528678,0.496123372,0.470878021,0.47370801,0.461722283,0.474515229,0.47956498,0.561812167,0.60160738,0.642814177,0.660192335,0.708197122,0.732816541
Egypt,0.218310738,0.228588361,0.181350653,0.185153644,0.133371738,0.169110379,0.17044359,0.190274711,0.175009748,0.189005648,0.204773281,0.236685191,0.247034614,0.24994434,0.267842956,0.29286471,0.329188476,0.365705478,0.393358705,0.414130136,0.410642598,0.402449123,0.408283473,0.404932825,0.411571506,0.417921029,0.403244829,0.384920629,0.360060775,0.35173305,0.375097823,0.389714923,0.404395119,0.418424963,0.418495314,0.402078872,0.378614387,0.359731135,0.362525428,0.368192748,0.401855903,0.379311722,0.397184503,0.416453352,0.431530839,0.447479266
Finland,1.253505147,1.512801782,1.581555946,1.792344353,2.081173832,2.336735709,2.40938366,2.55470547,2.842877064,2.464152454,2.534898095,2.713437822,2.63915547,2.641052076,2.792893177,2.676855764,2.551798319,2.344305404,2.164335809,2.182309317,2.193706262,2.286012933,2.265283677,2.228130424,2.216595904,2.196757166,2.110333868,2.054514549,1.956773174,2.039569296,1.943497418,2.013003648,1.978496113,2.039788593,2.066061668,2.065578143,2.029052029,2.093585041,2.180940948,2.023127526,2.094785199,2.004331044,2.008818752,1.981102203,1.853396002,1.938654268
France,1.105265147,1.171090675,1.333579109,1.434878883,1.646293651,1.857092888,2.00869245,2.212851997,2.448418655,2.311117736,2.094784113,2.254917124,2.153198468,2.226439454,2.205959354,2.039545441,1.828812584,1.68178473,1.634498015,1.561924369,1.524923408,1.548172148,1.550001214,1.531262087,1.566166079,1.576489915,1.661719666,1.651418677,1.586543246,1.530950511,1.539316589,1.567340831,1.573079473,1.623662745,1.641624159,1.607816177,1.607220791,1.553772124,1.546693131,1.552051745,1.525734933,1.515106415,1.479151309,1.484371267,1.401238246,1.328291411
Germany,1.135726669,1.260764368,1.299196977,1.4503027,1.622449476,1.77498101,1.837273153,1.938078694,2.063056352,1.868240603,1.812769141,1.958516451,1.939824635,2.013560352,2.080539225,1.881717687,1.708146382,1.615743341,1.582530029,1.576469845,1.626288258,1.713256726,1.66061509,1.653075824,1.546452805,1.609103248,1.671548262,1.673305994,1.684462364,1.658208213,1.649529136,1.670990798,1.657458986,1.658654832,1.607888217,1.575974905,1.597259069,1.545891884,1.516995194,1.50238094,1.482879866,1.496944284,1.363257976,1.43432084,1.38219156,1.398500033
Greece,0.518652486,0.562897287,0.657991146,0.668608064,0.70768892,0.762765663,0.838278288,0.967904377,1.122061685,1.046995257,1.099093753,1.155630057,1.160619545,1.243830539,1.29873358,1.285973021,1.225301237,1.214950476,1.159011763,1.181600074,1.205722562,1.219237785,1.319536211,1.359977382,1.482132238,1.545100975,1.540235844,1.551409982,1.592367188,1.59615908,1.649298633,1.697034796,1.708654145,1.677415182,1.708142509,1.815619589,1.823266843,1.830433364,1.768866226,1.9230733,1.896698898,1.977039566,1.928086856,1.897836192,1.783413128,1.628614887
"Hong Kong, China",0.557648198,0.600511637,0.713566033,0.776505002,0.917579007,0.98380735,1.022802479,1.150108731,1.170583843,1.170989438,1.072279441,1.230126918,1.288951001,1.295527578,1.286363813,1.284838353,1.335812668,1.281014101,1.123026388,1.025547477,0.952789018,0.915469688,0.882750371,0.996548841,1.048586793,1.084079224,1.070160019,1.363686936,1.404142186,1.476680648,1.557211576,1.495784412,1.447122274,1.355604781,1.390483511,1.433222124,1.72502943,1.885979424,1.906560506,2.259629904,2.035284431,2.177817497,2.321354968,2.091596924,2.00344134,2.282655406
Hungary,0.372354603,0.407320685,0.429006985,0.447091431,0.497679539,0.575061413,0.645047577,0.698400817,0.781559677,0.852578228,0.9552058,0.994260714,1.053133298,1.160410357,1.088196507,1.054256593,1.007897237,0.956112047,0.909839849,0.95773504,0.979368848,0.907382955,0.955717529,0.88605102,0.858679029,0.893958552,0.77349008,0.781439036,0.74321501,0.785985727,0.740557696,0.685767384,0.690483321,0.72391749,0.697538892,0.670777123,0.657066414,0.629769473,0.622328868,0.642210446,0.744428239,0.770547384,0.770320591,0.77211016,0.709840499,0.67109758
Iceland,2.5,2.769670312,2.604140228,2.654649651,2.643770523,2.694744269,2.630293829,2.651128637,3.084547639,2.738009606,2.637239659,2.665032235,2.66831055,2.690811081,2.712089371,2.41497195,2.329283474,2.243373897,2.07325501,1.969485545,2.11269356,2.195605512,2.353780025,2.404559044,2.613223147,2.500068683,2.4362855,2.708932165,2.789782991,2.766987909,2.871264179,2.96165764,3.130085473,3.131258889,3.232723785,3.243127912,3.081072706,3.176617861,3.07879223,3.259341169,3.417098297,3.302215873,3.400786992,3.051508694,,
India,0.025467345,0.027855592,0.028116969,0.03080477,0.036185384,0.035215598,0.036133321,0.038096399,0.039280461,0.037580239,0.037529536,0.038607984,0.04049339,0.042994835,0.045336943,0.045186218,0.047503584,0.048288774,0.049628447,0.052055226,0.055237101,0.056766907,0.057324954,0.061513692,0.065210378,0.066312617,0.066041403,0.068209445,0.067507263,0.071202346,0.078002156,0.082501381,0.086454745,0.090848917,0.096793399,0.100718465,0.099838127,0.102197672,0.102240223,0.106993715,0.104887284,0.104064814,0.109479648,0.113372339,0.125026867,0.126978752
Indonesia,0.058763266,0.0551667,0.051727557,0.053289581,0.055408667,0.05736651,0.057904999,0.063931766,0.072535122,0.076339121,0.08463459,0.088075537,0.102851662,0.112472185,0.119400003,0.130698808,0.13921854,0.140607374,0.133361709,0.139113768,0.130716771,0.12914619,0.137817482,0.140494633,0.145719144,0.161630901,0.17174015,0.184470892,0.194413507,0.188148468,0.19600769,0.209624347,0.223652708,0.209493598,0.222125387,0.237596348,0.238463517,0.247252859,0.243482326,0.258592543,0.25605944,0.239973442,0.24242808,0.244124525,0.249352929,0.248466951
Iran,0.399982253,0.430093877,0.462413006,0.497208844,0.534595612,0.57504688,0.61877154,0.666772878,0.758945205,0.785754431,0.866643798,0.88579472,0.911873411,0.892922696,0.924852082,0.803208354,0.700937458,0.733771971,0.850534432,0.889335707,0.938163312,0.876033064,0.872141426,0.737819911,0.816950258,0.858000725,0.874507738,0.875574943,0.879023295,0.908726785,0.978917539,1.003955756,0.965214517,0.910927516,0.914223705,0.956988334,0.943904122,0.998419439,1.043051088,1.0691557,1.108095153,1.144223706,1.138649009,1.151864361,1.163567384,1.162576448
Ireland,0.843215196,0.936459946,1.042288,1.153864623,1.243679834,1.384060857,1.509386382,1.639944089,1.750607899,1.70770487,1.643340466,1.6404306,1.722856409,1.812674861,1.879978056,1.672421834,1.466435767,1.267635687,1.143276377,1.118913989,1.112021919,1.375999394,1.204327437,1.088254465,1.120620205,1.248577333,1.370975903,1.429576858,1.441129886,1.564676017,1.582128621,1.649325525,1.792438949,1.985870401,2.224239492,2.159956675,2.319559628,2.232085576,2.127911042,2.183481999,2.25466698,2.205881657,2.194228359,2.07472502,1.813162243,1.700261751
Italy,1.016257141,1.112109431,1.220279308,1.336122407,1.460427971,1.637756651,1.747128409,1.815806892,1.902287379,1.839220024,1.715765762,1.784469802,1.726906672,1.786502471,1.841252572,1.741283546,1.696782405,1.604895994,1.575322076,1.496413965,1.48653897,1.521768221,1.586318285,1.613558893,1.650793548,1.647337,1.625930492,1.660123813,1.627204697,1.623236728,1.676817417,1.654087504,1.662046502,1.665566667,1.659660584,1.641218195,1.622382292,1.615631835,1.591222033,1.538846208,1.477283422,1.467500309,1.411440575,1.350843248,1.246500876,1.207249814
Japan,0.90279943,1.015148947,1.232550823,1.412652003,1.651436126,1.920204888,2.089182467,2.198109173,2.48934232,2.364851829,2.202131631,2.263207907,2.302762485,2.302923127,2.305382771,2.050464907,1.916858527,1.76550827,1.747631189,1.826620468,1.719643798,1.729426494,1.729258065,1.850278731,1.91159329,2.0262924,2.054754147,2.090606291,2.037418436,2.155043387,2.149498216,2.153731259,2.118780089,2.023606634,2.049794721,2.031956173,1.966230077,1.932263842,1.972527897,1.909324694,1.931430904,1.877801053,1.812484758,1.752730997,1.570109229,1.593223489
Kazakhstan,,,,,,,,,,,,,,,,,,,,,1.299049265,1.170772656,1.119500977,1.113599645,1.129140351,1.300604961,1.314077953,1.235476833,0.96355669,0.763021757,0.755375552,0.64916286,0.66517332,0.556822454,0.464117978,0.494761743,0.597409017,0.624091167,0.588271786,0.597867923,0.659117356,0.715309548,0.749969001,0.69579412,0.763836038,0.779964667
"Korea, Rep.",0.045324658,0.066427086,0.112865754,0.163595721,0.217706449,0.266513764,0.294786437,0.301404553,0.363544495,0.368035925,0.408795621,0.451821428,0.529674554,0.595960716,0.660384661,0.643974978,0.627309133,0.612371819,0.628721369,0.620475734,0.643817422,0.690386965,0.715674451,0.846854519,0.96256257,1.152316878,1.380827402,1.653583024,1.800089697,1.960901433,2.123610593,2.256637191,2.462026875,2.064172805,2.201206391,2.243255707,2.231286818,2.254826477,2.264973066,2.240513707,2.240694088,2.232606036,2.279249299,2.163638707,2.147447364,2.087848011
Kuwait,10.6380562,9.322416735,8.230599605,7.3134547,6.530196236,5.854141716,5.271287632,5.345535507,4.712359145,4.045831926,2.937120938,3.279326,2.999329901,3.071917301,3.247452851,3.1554951,4.031959626,4.341442247,4.606421723,4.671194082,4.604258236,4.461768835,4.10826112,3.790616744,3.579467735,2.631620545,1.80895754,2.888657782,2.800148777,3.682849477,3.973804465,3.841854409,4.121366776,5.167566011,5.547009316,5.351955342,5.249334689,5.524162534,5.716136932,6.266770496,6.725500814,5.773332608,5.572449422,5.993684543,6.499675394,6.467567888
Lithuania,,,,,,,,,,,,,,,,,,,,,2.414599002,2.003153617,2.178623406,2.077741429,2.118379961,2.018187771,2.219791541,1.174001875,1.030322795,0.961001939,0.872116093,0.911476109,0.9121843,1.05808301,0.875492234,0.677708864,0.787441854,0.730706602,0.702025139,0.756571855,0.813028362,0.825893678,0.826151073,0.911870026,0.778187523,0.812369438
Malaysia,0.208683861,0.240450328,0.239120842,0.236117041,0.237950178,0.261427053,0.279532257,0.308783167,0.345312807,0.340981655,0.364500628,0.387689428,0.425461047,0.454539735,0.534300816,0.582392909,0.591589986,0.620059364,0.644130583,0.61172962,0.593547261,0.577367597,0.57209591,0.584881443,0.615820342,0.714169521,0.742097911,0.728842564,0.786227411,0.867961539,0.869224176,0.899907197,0.929412067,0.842032245,0.878716476,0.858668125,0.847169959,0.901226021,0.867904003,0.873981949,0.825011846,0.791641759,0.815091429,0.792699646,0.87658427,0.890813171
Mexico,0.316915313,0.319295065,0.33176936,0.353343722,0.36154269,0.377899156,0.387504623,0.420942165,0.434319073,0.48574066,0.530530705,0.571976197,0.573949656,0.625833782,0.653333295,0.70762634,0.747542755,0.74812541,0.712259272,0.746598891,0.758501913,0.737216127,0.761617051,0.748289475,0.785022152,0.803566961,0.81988926,0.813714488,0.817643843,0.878132442,0.793820503,0.805895069,0.828435517,0.853962364,0.83605639,0.857006282,0.83873861,0.793897525,0.80520627,0.81028782,0.823420648,0.805266801,0.818101803,0.813807619,0.789943218,0.770566504
Netherlands,2.070343028,2.213951972,2.23610824,2.376454139,2.566936263,2.817399848,2.747752181,3.027640407,3.090442561,2.62441906,2.560802704,2.85761944,2.721416781,2.758000166,2.949718957,2.737808762,2.520998378,2.174863614,2.03673176,1.9943333,2.017582442,2.226188148,2.218020577,2.343914573,2.293303578,2.347546311,2.390579439,2.417182242,2.390845175,2.375374279,2.463921246,2.408822976,2.528031695,2.508236564,2.570436293,2.626707412,2.737903773,2.730660445,2.730313206,2.845654302,3.040845712,2.989661349,2.795082708,2.815760374,2.983223655,2.997654606
New Zealand,1.034245001,1.129433279,1.172244938,1.187963769,1.216984609,1.409775936,1.428678377,1.50721172,1.564814908,1.464162271,1.389759944,1.420970019,1.416556324,1.340818166,1.345196855,1.305427743,1.229636505,1.216449737,1.154630854,1.154151609,1.101749957,1.101487213,1.172023986,1.188094808,1.23780472,1.40545141,1.324275502,1.333018376,1.302000179,1.410824191,1.524834969,1.490263742,1.57018505,1.556753456,1.568282536,1.579191152,1.581783697,1.626175107,1.720243068,1.694319622,1.721566419,1.727121991,1.705707389,1.712897888,1.573117095,1.579621147
Norway,1.393499491,1.565790371,1.613654578,1.753097795,1.926060087,2.139587449,2.108286467,2.169001677,2.162826201,1.928287768,2.000592916,2.228935381,2.192440101,2.297699565,2.352503206,2.27382814,2.13043212,2.010426198,2.001896917,2.075323514,2.158668388,2.231764229,2.318997956,2.183315189,2.122095592,2.165279377,2.042256363,2.094212739,2.199393925,2.22177049,2.213073536,2.295936343,2.325200834,2.248579039,2.250729119,2.088687265,2.139145002,2.079989876,2.177394234,2.098399057,2.100686566,2.140109818,2.154276479,2.040759086,2.130739706,2.191226044
Pakistan,0.072644312,0.072677279,0.079134,0.087739241,0.080151094,0.077143744,0.070288975,0.056636299,0.056404223,0.059000613,0.05937281,0.057495078,0.058569918,0.060408911,0.062235871,0.063024377,0.0646973,0.069325809,0.073867712,0.077410385,0.080297156,0.083364611,0.087430983,0.091111511,0.09437363,0.095963439,0.098782203,0.10511794,0.111732708,0.117030191,0.123701662,0.126605026,0.126698292,0.127408944,0.128825303,0.129807054,0.124344403,0.118691093,0.103330357,0.10261769,0.096181761,0.108766141,0.116657274,0.115087937,0.120825105,0.11809206
Peru,0.312114762,0.381397144,0.374240823,0.36653459,0.351575685,0.359743272,0.346541283,0.286975474,0.325247675,0.372797952,0.379823225,0.374763628,0.364971608,0.353010007,0.359469307,0.379074662,0.377426274,0.362046907,0.306104638,0.308822806,0.291570793,0.304916144,0.329132658,0.314790141,0.273210411,0.267782163,0.242744066,0.248833041,0.256003194,0.273195057,0.30272173,0.306573503,0.297843028,0.294627375,0.295974143,0.285091339,0.265896261,0.260428698,0.242789306,0.264331153,0.255659605,0.243447527,0.251232706,0.276193888,0.281590627,0.288892973
Philippines,0.136443112,0.144400716,0.158298735,0.175801722,0.182987461,0.202615457,0.228010918,0.217442054,0.248410086,0.225840228,0.236814096,0.236636774,0.251702412,0.252216298,0.253238161,0.231196197,0.211264198,0.197740446,0.201106327,0.159631028,0.137735571,0.14098681,0.159571496,0.167451822,0.183005134,0.186374302,0.17617657,0.211570739,0.212848352,0.22001962,0.242522654,0.247559632,0.260151134,0.257344467,0.238140589,0.214409617,0.208764992,0.192765395,0.188260625,0.189578056,0.172689761,0.152192044,0.157481418,0.148968431,0.142852329,0.140466308
Poland,0.173802001,0.17867722,0.191810797,0.238058425,0.259937729,0.272495128,0.287259707,0.319727901,0.351835584,0.367987193,0.397122199,0.434718507,0.460812655,0.488578105,0.493448989,0.481375523,0.44686825,0.418123954,0.427847727,0.435384626,0.439521696,0.450852039,0.453835437,0.4630975,0.457219649,0.416305643,0.391240059,0.355498352,0.366397696,0.38598143,0.389015586,0.446939397,0.473649875,0.517561972,0.519276283,0.520985032,0.502994632,0.507055924,0.521307955,0.552113321,0.574269017,0.6113649,0.63297069,0.650941945,0.661451259,0.687102793
Portugal,0.308331721,0.327860481,0.364649112,0.394608289,0.443395242,0.530846867,0.622640548,0.663216806,0.699740822,0.724955228,0.741361369,0.76430648,0.75404844,0.772050056,0.83453883,0.864711396,0.897731098,0.955611319,0.953268509,0.954092941,0.879921263,0.951224085,0.895772915,0.878146941,1.140093054,1.113800375,1.154897991,1.283401267,1.197626167,1.192551998,1.28237759,1.199522787,1.362218903,1.510973014,1.543278839,1.501807868,1.517954757,1.556231565,1.448908675,1.467982924,1.51560231,1.35994547,1.359078344,1.29038436,1.201068764,1.180264627
Qatar,,,0.830118087,0.99654459,1.071360628,0.857925665,0.752897386,0.82026202,0.979793533,1.235135668,1.375625633,1.789190885,2.269506687,2.092622192,2.12509531,2.63224636,2.563685196,2.810133955,2.554299248,2.64964757,3.743237882,4.346602757,4.395902471,2.419313379,2.507960665,2.619679897,2.045862099,2.125554072,2.134630255,2.306483602,2.415377036,2.548231731,2.651351111,2.625594904,2.435643217,2.506109582,2.780989282,3.768186064,3.190512624,3.182969631,3.280634505,3.340331951,3.368326215,3.320166039,3.880420462,4.207430892
Romania,0.375525451,0.387108693,0.432695696,0.449035281,0.494562932,0.529020064,0.531224664,0.561983615,0.626247907,0.572596076,0.64283037,0.71030251,0.762066147,0.842397727,0.889213596,0.836479195,0.746046217,0.729953615,0.649960065,0.619346299,0.661434887,0.70733202,0.773430179,0.720844682,0.741677248,0.805499476,0.671829937,0.548583908,0.528171461,0.493025158,0.594948519,0.575077706,0.608000177,0.534941137,0.425262839,0.44967297,0.479818853,0.483626637,0.429868553,0.496858266,0.482689746,0.475048001,0.477618593,0.490595355,0.4271675,0.423524289
Russia,,,,,,,,,,,,,,,,,,,,,1.70216104,1.711179105,1.713906012,1.690053359,1.712836172,1.684397618,1.637147761,1.507074617,1.266234464,1.092926906,0.982658994,0.876348234,0.871477202,0.837229502,0.856832136,0.841660465,0.836744269,0.848682682,0.851557155,0.85456739,0.847261231,0.885499727,0.880814588,0.911073761,0.945031072,1.032469884
Saudi Arabia,4.089589522,3.982744198,3.876355303,3.768478124,3.656578746,3.539422223,3.417493726,3.489031496,3.523857498,3.508113104,2.499646681,2.772021714,3.053829616,3.100757877,3.550388689,3.053804657,3.436022558,3.574507238,3.717571664,3.667098359,3.460388689,3.187296862,3.212732988,3.14495269,2.992648417,3.081106122,3.221488799,2.890159418,2.836947927,3.082711589,2.86291887,2.978179133,3.025930254,3.188343102,3.240166683,3.396804265,3.352720702,3.288043343,3.381980267,3.423536215,3.451934885,3.526032769,3.768907884,3.982363765,4.37164911,4.572267808
Singapore,2.03717783,2.327839071,2.861440483,3.504865784,3.377709767,3.627599261,3.133122692,3.832496223,3.516927695,3.409236208,3.276103188,3.803769646,3.750028583,3.798615777,4.037947955,3.938186744,4.435569156,4.22853783,4.354257227,4.496102886,4.445038429,5.122830098,5.223144641,5.931670873,6.62852958,7.707954322,7.642931925,7.740640588,8.134038243,9.050103885,9.180354048,8.464053357,8.828578146,8.853409081,8.209498132,8.539024826,9.14956106,8.805081671,8.303373674,9.169122904,9.578061317,9.985712553,10.34192721,10.46453283,11.34331316,12.22864499
Slovak Republic,0.528966315,0.579511275,0.640001087,0.701067418,0.747359943,0.890147307,0.971834186,1.055296075,1.176443639,1.195882414,1.306460046,1.367068913,1.414499985,1.448113743,1.457119237,1.34391942,1.31323556,1.18874889,1.155432334,1.216839938,1.201895027,1.153948352,1.128938298,1.096512642,1.080260208,0.942302117,0.822439272,0.737556232,0.608000834,0.625354073,0.603662505,0.631689633,0.629511336,0.701374286,0.635211567,0.63091541,0.589601159,0.654381285,0.615989627,0.588394111,0.706675806,0.728497072,0.761557687,0.786447513,0.67865402,0.677392785
